timestamp,date,price_usd,volume_usd,market_cap_usd,source,fetch_timestamp
2025-09-07 00:02:43.915,2025-09-07,110256.24911657201,26772458462.536053,2194822256372.9568,coingecko,2025-09-19 00:47:53.002229
2025-09-07 01:03:04.384,2025-09-07,110175.86574226645,25706003423.81639,2193981736298.4644,coingecko,2025-09-19 00:47:53.002229
2025-09-07 02:02:31.580,2025-09-07,110265.97583337485,25240147712.461895,2196520411807.7515,coingecko,2025-09-19 00:47:53.002229
2025-09-07 03:02:44.905,2025-09-07,110054.77331373848,23410399016.24091,2191980773998.4763,coingecko,2025-09-19 00:47:53.002229
2025-09-07 04:02:55.860,2025-09-07,110174.33371417443,22365801629.629494,2194426153739.3474,coingecko,2025-09-19 00:47:53.002229
2025-09-07 05:02:14.384,2025-09-07,110235.30370196157,19891442753.546387,2194894297802.4465,coingecko,2025-09-19 00:47:53.002229
2025-09-07 06:02:07.526,2025-09-07,110175.25026599839,19485066431.506992,2194132592996.3423,coingecko,2025-09-19 00:47:53.002229
2025-09-07 07:02:17.296,2025-09-07,110223.83395870344,19347672148.33057,2194991805899.4248,coingecko,2025-09-19 00:47:53.002229
2025-09-07 08:01:58.687,2025-09-07,110367.90950933227,19240307881.05413,2197895354084.5344,coingecko,2025-09-19 00:47:53.002229
2025-09-07 09:02:12.075,2025-09-07,110581.74308347162,19400177876.567787,2202523904756.5493,coingecko,2025-09-19 00:47:53.002229
2025-09-07 10:02:27.533,2025-09-07,110666.85100536971,19661219149.333897,2202408132672.368,coingecko,2025-09-19 00:47:53.002229
2025-09-07 11:02:46.700,2025-09-07,110619.14326203972,19301596873.710617,2203215847363.755,coingecko,2025-09-19 00:47:53.002229
2025-09-07 12:02:15.879,2025-09-07,110563.51042806412,19160352766.61847,2202043258749.9478,coingecko,2025-09-19 00:47:53.002229
2025-09-07 13:01:39.926,2025-09-07,110660.43142974885,19268019536.141872,2204081008329.8306,coingecko,2025-09-19 00:47:53.002229
2025-09-07 14:06:26.947,2025-09-07,110523.24469913781,19256214557.531918,2201080831652.5366,coingecko,2025-09-19 00:47:53.002229
2025-09-07 15:00:25.454,2025-09-07,110724.89293566853,20333740487.523045,2205449026864.7637,coingecko,2025-09-19 00:47:53.002229
2025-09-07 16:02:27.833,2025-09-07,111081.23400933287,21795550900.528606,2212542021729.9663,coingecko,2025-09-19 00:47:53.002229
2025-09-07 17:01:47.596,2025-09-07,111120.66444717823,22363390960.647243,2212464647719.063,coingecko,2025-09-19 00:47:53.002229
2025-09-07 18:02:40.755,2025-09-07,111233.74012205859,22620597540.48732,2214000232808.7754,coingecko,2025-09-19 00:47:53.002229
2025-09-07 19:02:11.486,2025-09-07,111280.13329637531,22693351671.805378,2215851207477.327,coingecko,2025-09-19 00:47:53.002229
2025-09-07 20:02:14.457,2025-09-07,111116.19537609039,22798556282.876648,2212992926397.976,coingecko,2025-09-19 00:47:53.002229
2025-09-07 21:00:44.693,2025-09-07,111202.50300098678,22839885033.798103,2214720947813.7554,coingecko,2025-09-19 00:47:53.002229
2025-09-07 22:02:54.926,2025-09-07,111118.80281737895,23210507598.653305,2213517945857.074,coingecko,2025-09-19 00:47:53.002229
2025-09-07 23:02:44.718,2025-09-07,111347.47926907448,22707578383.229313,2216210749411.1567,coingecko,2025-09-19 00:47:53.002229
2025-09-08 00:02:06.397,2025-09-08,111201.3073627705,21031718901.14799,2215408816436.6064,coingecko,2025-09-19 00:47:53.002229
2025-09-08 01:00:47.830,2025-09-08,110968.97113583378,21077256334.334625,2210364388548.7207,coingecko,2025-09-19 00:47:53.002229
2025-09-08 02:01:36.735,2025-09-08,111057.5596575689,21183633148.85097,2209689431376.4717,coingecko,2025-09-19 00:47:53.002229
2025-09-08 03:02:33.704,2025-09-08,111232.34796307397,21110412010.819794,2215450776619.8022,coingecko,2025-09-19 00:47:53.002229
2025-09-08 04:02:11.218,2025-09-08,111325.77408290895,21317052372.698402,2217339009426.298,coingecko,2025-09-19 00:47:53.002229
2025-09-08 05:05:31.023,2025-09-08,111096.43172052184,21271491889.944855,2211922988301.7183,coingecko,2025-09-19 00:47:53.002229
2025-09-08 06:02:14.758,2025-09-08,111271.50729228156,21459138328.813354,2215915986430.9673,coingecko,2025-09-19 00:47:53.002229
2025-09-08 07:02:07.086,2025-09-08,111133.09269636446,21988077810.186073,2213764479139.3647,coingecko,2025-09-19 00:47:53.002229
2025-09-08 08:01:38.575,2025-09-08,110836.31395611238,22779262875.978676,2210389436645.3896,coingecko,2025-09-19 00:47:53.002229
2025-09-08 09:02:40.459,2025-09-08,110858.36729079825,23312743691.560066,2208971495340.898,coingecko,2025-09-19 00:47:53.002229
2025-09-08 10:02:16.472,2025-09-08,111245.9380531357,23783939273.510925,2213084256524.0527,coingecko,2025-09-19 00:47:53.002229
2025-09-08 12:02:07.561,2025-09-08,110952.3755840546,25093707651.39224,2209924707464.6074,coingecko,2025-09-19 00:47:53.002229
2025-09-08 13:01:40.640,2025-09-08,111020.74120294617,25077337807.208366,2210489329575.556,coingecko,2025-09-19 00:47:53.002229
2025-09-08 14:02:31.739,2025-09-08,111150.0833279388,25002503890.298523,2213683919701.825,coingecko,2025-09-19 00:47:53.002229
2025-09-08 15:03:11.771,2025-09-08,111249.96720226432,25643053103.267696,2216139837455.6,coingecko,2025-09-19 00:47:53.002229
2025-09-08 16:02:09.078,2025-09-08,111630.32037940944,25947750847.363655,2223216961086.9717,coingecko,2025-09-19 00:47:53.002229
