id,text,user,created_at,retweet_count,favorite_count,reply_count,date,text_length
1960853948421509233,"What tastes good with mustard? Ooh Look what has started! WOW, what did you notice? What’s wrong with this person? Likes: Entrepreneur, loves golf, Bitcoin, beaches and has a sexy banner. X=Embrace the suck!",MikeUher,Wed Aug 27 23:56:26 +0000 2025,0,0,0,2025-08-27,207
1960852636325888004,Here are signs that we are now close to the Bitcoin cycle top. Let this be a warning to you all.,btc_investor21,Wed Aug 27 23:51:14 +0000 2025,0,1,1,2025-08-27,96
1960854830676893940,"""Crypto is a scam"" #Bitcoin #Trump #CryptoNews #memecoin #Trending #BullRun #BreakingNews #Fintech #WEB3",FXCRYPTOMASTER,Wed Aug 27 23:59:57 +0000 2025,1,4,0,2025-08-27,104
1960849870459117868,@jonwu_ ALWAYS BE SHITPOSTING #HarryPotterObamaSonic10inu TICKER $BITCOIN 🟦🟥🟨,tickerBITCOINbb,Wed Aug 27 23:40:14 +0000 2025,3,11,0,2025-08-27,77
1960854402555896283,"Bitcoin is flashing danger signs on the 15-minute chart ⚡. A clear head & shoulders pattern is forming, pointing straight down toward the 200 moving average. Will bulls step in to defend, or do we break lower from here? Stay disciplined. Trade what you see, not what you think.",FlexCandle,Wed Aug 27 23:58:15 +0000 2025,0,1,0,2025-08-27,277
1960849614472651158,Pulling up to the fiat mines in 2032 to grab that last 1% of Bitcoin supply.,JasonSDhillon,Wed Aug 27 23:39:13 +0000 2025,0,9,1,2025-08-27,76
1960853440776822814,"Starting a new journey tomorrow. The goals? Introduce Bitcoin in a dynamic, fun way to a million new people in 365 days. Get 10,000 more people to hold Bitcoin in self-custody. Who wants to help?",kinetic_finance,Wed Aug 27 23:54:25 +0000 2025,10,162,21,2025-08-27,195
1960853714421375307,@HPOS10Ireturns This has always been on the backside of a Bitcoin… It’s just no one bothered to flip it over until now #HarryPotterObamaSonic10inu,BitcoinRktyCrkt,Wed Aug 27 23:55:31 +0000 2025,3,17,1,2025-08-27,146
1960853753395077236,@saylor Cyber Hornet = Bitcoin Dawg,bitcoin_dawg,Wed Aug 27 23:55:40 +0000 2025,0,1,1,2025-08-27,35
1960852651806982305,The ticker is $BITCOIN #HarryPotterObamaSonic10inu,Cryptojawn420,Wed Aug 27 23:51:17 +0000 2025,2,4,0,2025-08-27,50
1960852420256522411,A new video piece created for Bitcoin Asia will be displayed on their 90 foot LED wall througout the event! Make sure to check it out if you're there! 🙌🙏✨,infiniteyay,Wed Aug 27 23:50:22 +0000 2025,10,97,11,2025-08-27,154
1960851165996048621,Hyper inflation is here . 😭 @Starbucks Buy Bitcoin.,Rally__vincent,Wed Aug 27 23:45:23 +0000 2025,0,8,3,2025-08-27,51
1960850142497808797,"TODAY IS THE DAY, LET THE SHOW BEGIN 🚀",BitcoinConfAsia,Wed Aug 27 23:41:19 +0000 2025,144,662,51,2025-08-27,38
1960854569027822057,THE BIGGEST #BITCOIN CONFERENCE IN ASIA STARTS TODAY 🇭🇰🚀,TheBitcoinConf,Wed Aug 27 23:58:54 +0000 2025,123,497,52,2025-08-27,56
1960852496735514807,@CoinMarketCap Tagged @CoinMarketCap @purple_bitcoin_ Time to take notice of the purple movement and tokenomics like no other!! Auto-deflationary = purple takeover!! #BoostMeCMC,DDuck1995,Wed Aug 27 23:50:40 +0000 2025,9,18,2,2025-08-27,177
1960854793716379792,Rule #1 in crypto Don’t marry your bag unless it’s Bitcoin,CryptoGodJohn,Wed Aug 27 23:59:48 +0000 2025,157,1570,306,2025-08-27,58
1960850247212786140,I will literally be a $BITCOIN maxi for life #harrypotterobamasonic10inu,virtuagram,Wed Aug 27 23:41:44 +0000 2025,12,30,0,2025-08-27,72
1960850005306040345,#Bitcoin Local levels,Nebraskangooner,Wed Aug 27 23:40:46 +0000 2025,38,305,37,2025-08-27,21
1960852860369035716,"Fees are low, mint Bitcoin Cyborgs 10K on @OrdXcom NOW! 🤖👇",MrEdogtagnft,Wed Aug 27 23:52:07 +0000 2025,13,34,5,2025-08-27,58
1960850185145168055,@CryptoTea_ There is paper bitcoin due to short selling of the ETFs. Just like paper gold and gld.,HermesLux,Wed Aug 27 23:41:29 +0000 2025,0,7,4,2025-08-27,98
1960851442505322620,🚨 What is @build_on_bob (Build on Bitcoin)? The ultimate Layer-2 for Bitcoin blending Bitcoin security with Ethereum flexibility. If you’ve been asking “How can I build on Bitcoin?” this is your gateway. 🧵👇 #BitcoinDeFi,Zamzy_Lex,Wed Aug 27 23:46:29 +0000 2025,0,3,1,2025-08-27,219
1960851797045633178,The altseason index is ripping. ALTSEASON IS IMMINENT! #Bitcoin #Trump #CryptoNews #memecoin #Trending #BullRun #BreakingNews #Fintech #WEB3,FXCRYPTOMASTER,Wed Aug 27 23:47:53 +0000 2025,1,5,0,2025-08-27,140
1960853404382847167,I am buying more $nvda $MSTY $MSTR $BTC tomorrow and Friday. Maybe $TSLA $COIN next week before I build a bigger position in $ULTY. #Nvidia #BITCOIN #TESLA,ElonTus51482292,Wed Aug 27 23:54:17 +0000 2025,1,5,0,2025-08-27,155
1960851519907258749,"Someone asked me, ""Why am I posting more about Crypto these days?"" I am an 56 year old white woman. For work, I implement CRMs, like @attio. I was a world leading software implementor for about 13 years before I moved into marketing. I spoke at the 2014 Texas Bitcoin",MarniMelrose,Wed Aug 27 23:46:47 +0000 2025,0,5,0,2025-08-27,267
1960852053917622755,@vote_bitcoin @HivemindCap We will have Tempted in the Garden on display at the Grand exhibition for all to see 🫶,lphaCentauriKid,Wed Aug 27 23:48:55 +0000 2025,0,8,1,2025-08-27,113
