id,text,user,created_at,retweet_count,favorite_count,reply_count,date,text_length
1958677599154315400,"Bitcoin ""suicide rally"" incoming? Tune in here for the leading indicator:",PizzinoMichael,Thu Aug 21 23:48:24 +0000 2025,7,101,9,2025-08-21,73
1958676513345126656,NEW: 🇸🇻 El Salvador's new Minister of Education Karla Trigueros autographed #bitcoin diplomas for 350 students who graduated today 🙌 $BTC #crypto,ImCryptOpus,Thu Aug 21 23:44:05 +0000 2025,0,4,1,2025-08-21,145
1958677029693661510,"If Litecoin hits $10k this year I will get a tattoo of @SatoshiLite on my chest, screaming like Conor McGregor. 🤝 $ltc #bitcoin $btc #litecoin",litecoin23766,Thu Aug 21 23:46:08 +0000 2025,0,18,1,2025-08-21,142
1958678308184629602,Who is single-handedly dumping the price of Bitcoin? Tag the mfker below. 69420 $BRO for whoever gets it right.,btcbrobear,Thu Aug 21 23:51:13 +0000 2025,7,44,12,2025-08-21,111
1958677409030709457,Equity tail risk is magnitudes greater than Bitcoin tail risk,PunterJeff,Thu Aug 21 23:47:39 +0000 2025,10,275,26,2025-08-21,61
1958679835821117789,"Millionaires /Billionaires playing to your emotions. Lock TF in! Bitcoin has meme coins , DUMMIES!",cryptgodZ,Thu Aug 21 23:57:18 +0000 2025,1,5,0,2025-08-21,98
1958677398440063383,HarryPotterObama,BitcoinMLK,Thu Aug 21 23:47:36 +0000 2025,2,18,1,2025-08-21,16
1958676979097772241,"One of the smartest signs I’ve met so far is a Gemini. That girl hacked a Bitcoin wallet and sent funds out right in front of me, she even hacked into my IG acc with 2FA only God knows how. Aside my mom, she is the only person that could tell my mood with just a look",Emmy_stunner,Thu Aug 21 23:45:56 +0000 2025,1,5,2,2025-08-21,267
1958678082664951820,What if I told you the founder of #Bitcoin and the founder of #Qubic might be the same person? 👀 Let’s break down why some believe CFB = Satoshi 🧵 Join me jump into the rabbit hole,mr_ANGH3L,Thu Aug 21 23:50:20 +0000 2025,0,28,7,2025-08-21,180
1958679048479195376,"🚨 Eric Trump turns ultra-bullish on #Bitcoin! 🟠💰 🔹 Predicts BTC could one day hit $1,000,000 🔹 Targets $175,000 by year-end 🔹 Reveals over half his wealth is in crypto Institutional vibes, Trump edition. 🇺🇸📈 #BTC #Crypto #EricTrump #Bitcoin",AiwLimited,Thu Aug 21 23:54:10 +0000 2025,3,9,3,2025-08-21,240
1958679245817094265,"We’ve just hit 5,000 followers Thank you to our $DOG community for the support as we continue building at the intersection of Bitcoin, culture, and markets. This is only the beginning.",C2Blockchain,Thu Aug 21 23:54:57 +0000 2025,182,570,66,2025-08-21,184
1958677172279025986,Bitcoin is going to 13 Million dollars a coin October 27th. Write it down.,GoingParabolic,Thu Aug 21 23:46:42 +0000 2025,24,397,166,2025-08-21,74
1958680092588093561,"🎬 Deeper Into the Mines @MustStopMurad thought he already learned everything there was to know about $BOB — its halving, cross-chain expansion to Base, fair supply dynamics and Bitcoin-native tokenomics. But when he went deeper into the mining facility… he wasn’t ready for",BitWalker_,Thu Aug 21 23:58:19 +0000 2025,0,9,2,2025-08-21,273
1958678229302354249,"Web3 is evolving beautifully! With Citrea and Crest joining forces to drive growth on the Bitcoin blockchain as a Layer 1 solution, it's not just hype – it's about building trust and unlocking true potential. The future of Bitcoin is bright, and we're excited to be a part",don_dola205,Thu Aug 21 23:50:55 +0000 2025,0,1,1,2025-08-21,272
