id,text,user,created_at,retweet_count,favorite_count,reply_count,date,text_length
1963026372177362955,ABOUT TO BE LIKE LUIGI 😂🤪😅 #bitcoin #altcoins #memes What do you think? 📲 Join our Telegram community to closely follow how this story evolves and analyze the repercussions in real time. DONATIONS USDT BEP20 0x78ED05554724d88484a06C6638b2e668F0F81D2d FREE TELEGRAM,Fredvelezcrypto,Tue Sep 02 23:48:53 +0000 2025,1,2,1,2025-09-02,264
1963025856496074859,Already looking forward to 2026's BITCOIN IS FOR EVERYONE 💪❤️ I hope to attend more of these smaller venues where you can connect one-on-one with such great minds. (of course they'll have to have a great host) h/t @BITCOINisforALL/@gauchoeddy,ProofOfMoney,Tue Sep 02 23:46:50 +0000 2025,16,114,21,2025-09-02,242
1963028927581995116,Just found some raw un-mined Bitcoin.,JChainsX,Tue Sep 02 23:59:02 +0000 2025,0,9,0,2025-09-02,37
1963026525001031819,NEW 🚨: The $10M Bitcoin Blind Spot Nobody Talks About 👇,SimplyBitcoinTV,Tue Sep 02 23:49:29 +0000 2025,10,70,6,2025-09-02,55
1963029041226907896,"""Every new custody model creates a creative constraint for businesses."" Dive into Joe Kelly's insights on Bitcoin and innovation as founder of @unchained in the latest episode of Early Days @pleblab . Listen now:",uncleJim21,Tue Sep 02 23:59:29 +0000 2025,0,0,0,2025-09-02,212
1963026485989761428,"Where's my nerds at??? You gotta give it to the Buckazoids community! ... Some real talent here! What a Masterpiece! “A long time ago in a galaxy far, far away…Before Bitcoin... there was Buckazoids ₿"" Shout out to @TimeTravelerExp for building this! Roger wilco... A.K.A...",TrenchSniper69,Tue Sep 02 23:49:20 +0000 2025,39,61,32,2025-09-02,274
1963028948796796977,"""It says ""Bitties"" on her t-shirt sir""",LoveIsBitcoin21,Tue Sep 02 23:59:07 +0000 2025,0,5,0,2025-09-02,38
1963026509611794624,Gotcha 🎯 Powered by #HOSANNA ✝️ #Crypto 🌐 #Bitcoin ₿ #Ethereum 💠 #DeFi 🔗 #Web3 🚀 #Blockchain ⛓️ #DAO 🏛️ #NFT 🎨 #Altcoins 🪙 #X ✖️ #AI 🤖 #BTC 💵 #ETH 🔥 #SOL ☀️ #XRPL 🌊 #HODL 🚀 #CryptoCommunity 👥 #CryptoNews 📰 #Coi #Trump #WhiteHouseNewMedia 😱💡🧐 #OnChain #Currency,HosannaCoin,Tue Sep 02 23:49:25 +0000 2025,0,1,0,2025-09-02,260
1963026468948029558,"🚨NEW VIDEO🚨 Collateral Wars: Bitcoin, Chips, & The Next Dollar System Nik & @kanemcgukin break down why collateral drives liquidity, how chips and stablecoins create new rails, & where Bitcoin fits as digital collateral. Banks, credit, and the dollar’s tech pivot all covered.",TheBitcoinLayer,Tue Sep 02 23:49:16 +0000 2025,4,26,5,2025-09-02,276
1963028506729648331,@AltcoinSherpa Imagine not having exposure to $lolcoin which Mitsubishi Goldstein (aka Satoshi Nakamoto) created in 2011 to promote #Bitcoin #lolcoin is Satoshi Nakamoto’s memecoin trading at a 7.1m mcap. r/r of the century - still not too late…,CryptoScoopOG,Tue Sep 02 23:57:21 +0000 2025,4,10,1,2025-09-02,245
1963027669609529514,"Why do I have exposure to $ETH? Well, I was once against anything else not Bitcoin in the crypto space… But, Tom Lee really opened my eyes to what Wall Street will do with ETH. Bitcoin is immutable money (digital gold)…and will always be the safest and best thing I will ever",ChromeHODLs,Tue Sep 02 23:54:02 +0000 2025,0,1,0,2025-09-02,275
1963027022491357411,Someone who's had a $50 weekly DCA since 2013 would have nearly $7 million saved in bitcoin today. 🤯,w_s_bitcoin,Tue Sep 02 23:51:28 +0000 2025,11,110,15,2025-09-02,100
1963025323848839639,"Just max out all your credit cards and make the minimum payment each month for 5 years, Show these bitcoin bros how its done Golden Diwali Style",TinFormer_News,Tue Sep 02 23:44:43 +0000 2025,0,4,0,2025-09-02,144
1963027219611320584,Bitcoin is fueling real-world growth. 🚀 Kiwi businesses: want to start accepting Bitcoin? Connect with @lightningpaynz ⚡🇳🇿,jamesviggy,Tue Sep 02 23:52:15 +0000 2025,3,25,1,2025-09-02,122
1963024893194203568,NEW: $25 Billion prime brokerage firm Clear Street reconfirms a Buy rating on #Bitcoin treasury miner Hut 8 ($HUT) Price target: $33 (up from $23) 🔥,BTCtreasuries,Tue Sep 02 23:43:00 +0000 2025,4,24,3,2025-09-02,148
1963026720581419244,"Bitcoin closed red again in August, marking its 4th consecutive year of a bearish August. The seasonal correction trend persists, and market sentiment has turned more cautious. Looking at historical performance, September has always been Bitcoin’s weakest month of the year, with",MiraVukova,Tue Sep 02 23:50:16 +0000 2025,0,3,1,2025-09-02,279
1963028829703720981,"Good night CT In the early days of Bitcoin, very few people believed in its future. Most dismissed it as internet money or a passing trend but in 2011 a 12year old boy named Erik Finman saw something different. With $1,000 gifted to him by his grandmother Erik decided to take a",pendingbilonia,Tue Sep 02 23:58:38 +0000 2025,1,13,5,2025-09-02,278
1963027807425949901,"JUST IN: 🇺🇸 Max Keiser warns U.S. debt crisis will send Bitcoin above $2,000,000.",boomerbust_,Tue Sep 02 23:54:35 +0000 2025,0,2,0,2025-09-02,81
1963026118585548896,"Ever wondered how to get Bitcoin yield on Solana without the usual bridge hassles? LBTC might be worth a look if you are into DeFi. LBTC from @lombard_finance turns Bitcoin into a productive asset on Solana by staking it for yield. Buyers earn passive returns, sellers tap",IsakXBT,Tue Sep 02 23:47:52 +0000 2025,0,22,19,2025-09-02,272
1963028141586206783,Shiny Heffers survives another Crypto crash! #shinyheffers #crypto #bitcoin #memcoin #halo,Shinyheffers,Tue Sep 02 23:55:54 +0000 2025,2,3,1,2025-09-02,90
1963027950321992104,"New #XRPL environmental data shows the entire network has a carbon footprint equal to ONE transatlantic flight. Meanwhile, a single XRP transaction uses energy equivalent to running an LED light for 1 millisecond. Compare that to Bitcoin's massive footprint. The future of",RipEffectNews,Tue Sep 02 23:55:09 +0000 2025,9,37,0,2025-09-02,272
1963028211136094504,my real name is Macon Gelstone,HodlTarzan,Tue Sep 02 23:56:11 +0000 2025,0,5,2,2025-09-02,30
1963025580632273395,"MetaSo Chat isn’t just another messaging app — it’s the Bitcoin Telegram 🟧 🔥 Every message you send is on-chain, permanent, and unstoppable, powered by MVC + MetaID. Be early, test beta:",MetaID_PGD,Tue Sep 02 23:45:44 +0000 2025,12,16,2,2025-09-02,186
1963027528735719835,"""We aim to be the ambassadors of Bitcoin in this territory."" Join Lynne Bairstow and @isra_munoz as they chat with Santiago Varela and Max Schatz from Casa de Satoshi. Listen now:",uncleJim21,Tue Sep 02 23:53:28 +0000 2025,0,0,0,2025-09-02,179
