id,text,user,created_at,retweet_count,favorite_count,reply_count,date,text_length
1961936372920435063,"""Puedo pagar con Bitcoin"" ""Si, claro"" Totally ubiquitous. After 3 years. 500-1000 times. Never gets old.",francispouliot_,Sat Aug 30 23:37:36 +0000 2025,6,47,11,2025-08-30,104
1961939386611675165,🚨BREAKING: U.S. Department of Commerce is NOW OFFICIALLY USING @StellarOrg ($XLM)!!!🔥🇺🇸💥 This is a GAME-CHANGER for $XLM holders...👀 #XLM #Stellar #Crypto #Blockchain #USA #Bitcoin,CryptoXAiMan,Sat Aug 30 23:49:35 +0000 2025,90,345,16,2025-08-30,180
1961941311432364400,"Stay strong my Retardio brethren. They can ban our accounts, but they can't ban an idea that lives on in cyberspace. Retardio is the next Bitcoin.",Talon_ArtGod,Sat Aug 30 23:57:14 +0000 2025,5,35,0,2025-08-30,146
1961939695237059051,⚠️ REMINDER ⚠️ You can find Bitcoin memecoins on @krakenfx 💜 You can find the #1 Bitcoin-native memecoin on @krakenfx 💜 You can find $DOG on @krakenfx 💜 The Dog Coin of Bitcoin 🐕 Woof!,unfungiblehuman,Sat Aug 30 23:50:49 +0000 2025,58,154,14,2025-08-30,184
1961938299016397202,🔥The crazy stupid sale (While were in HK for the crypto show to the Bitcoin 101 + Security 101 Bundle:,economyninja,Sat Aug 30 23:45:16 +0000 2025,13,85,10,2025-08-30,102
1961936362329739592,Many roads lead to bitcoin. I’m glad you’re here!,HodlmansApparel,Sat Aug 30 23:37:34 +0000 2025,0,15,3,2025-08-30,49
1961936817747316900,"Warren Buffett, the “Oracle of Omaha,” just turned 95 today... That’s the power of patience, discipline, and conviction — timeless Buffett ideals that Milo brings into the Bitcoin era, helping you build long-term wealth without giving up your crypto",milocredit,Sat Aug 30 23:39:23 +0000 2025,0,5,3,2025-08-30,249
1961941759895953683,"Question: ""What happened to your astrology for men?"" I guess new model incoming that fits your narrative? 🤡 Here, let me help you: BTC has zero utility. It is a memecoin. Buy it. Shill it. Sell it. So, predicting Bitcoin's price is all about people's willingness to speculate",julianhosp,Sat Aug 30 23:59:01 +0000 2025,4,12,14,2025-08-30,275
1961937440551362895,"You realize why Bitcoin is so important once you understand monetary policy and M2 money supply The monetary policy for BTC is written into the code 🟧 It’s predictable, transparent and immutable • 21Million coins • Predictable halving every 210k blocks • No dilution of",BrittysRich,Sat Aug 30 23:41:51 +0000 2025,0,17,1,2025-08-30,269
1961941299151687818,Little tiny guy u are so adorable,AzulsBitcoin,Sat Aug 30 23:57:11 +0000 2025,0,24,0,2025-08-30,33
